name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time
graph_24_0.5.gml;24;138;0.5;clever;0.25;6;True;(80, 61):(72, 79):(71, 100):(30, 2):(84, 31):(18, 19);0.007991552352905273
graph_24_0.5.gml;24;138;0.5;clever;0.5;12;False;-1;0.004002571105957031
graph_24_0.5.gml;24;138;0.5;clever;0.75;18;False;-1;0.001995563507080078
graph_24_0.75.gml;24;207;0.75;clever;0.125;3;True;(11, 68):(1, 29):(30, 2);0.0070002079010009766
graph_24_0.75.gml;24;207;0.75;clever;0.25;6;False;-1;0.005034446716308594
graph_24_0.75.gml;24;207;0.75;clever;0.5;12;False;-1;0.00399470329284668
graph_24_0.75.gml;24;207;0.75;clever;0.75;18;False;-1;0.0019986629486083984
graph_25_0.125.gml;25;37;0.125;clever;0.125;3;True;(99, 95):(30, 2):(1, 100);0.0
graph_25_0.125.gml;25;37;0.125;clever;0.25;6;True;(99, 95):(13, 46):(1, 100):(71, 100):(27, 93):(30, 2);0.0
graph_25_0.125.gml;25;37;0.125;clever;0.5;12;True;(11, 68):(99, 95):(71, 100):(13, 46):(18, 19):(80, 61):(64, 29):(33, 37):(1, 100):(27, 93):(44, 53):(30, 2);0.0010013580322265625
graph_25_0.125.gml;25;37;0.125;clever;0.75;18;False;-1;0.0010013580322265625
graph_25_0.25.gml;25;75;0.25;clever;0.125;3;True;(11, 68):(99, 95):(100, 6);0.00400090217590332
graph_25_0.25.gml;25;75;0.25;clever;0.25;6;True;(63, 50):(99, 95):(11, 68):(18, 19):(30, 2):(100, 6);0.009009122848510742
graph_25_0.25.gml;25;75;0.25;clever;0.5;12;False;-1;0.007994651794433594
graph_25_0.25.gml;25;75;0.25;clever;0.75;18;False;-1;0.002996683120727539
graph_25_0.5.gml;25;150;0.5;clever;0.125;3;True;(11, 68):(99, 95):(27, 93);0.012000322341918945
graph_25_0.5.gml;25;150;0.5;clever;0.25;6;True;(100, 6):(64, 29):(71, 100):(13, 46):(1, 29):(18, 19);0.012043237686157227
graph_25_0.5.gml;25;150;0.5;clever;0.5;12;False;-1;0.003999233245849609
graph_25_0.5.gml;25;150;0.5;clever;0.75;18;False;-1;0.0015430450439453125
graph_25_0.75.gml;25;225;0.75;clever;0.125;3;True;(80, 61):(99, 58):(100, 6);0.008002281188964844
graph_25_0.75.gml;25;225;0.75;clever;0.25;6;False;-1;0.00600123405456543
graph_25_0.75.gml;25;225;0.75;clever;0.5;12;False;-1;0.003969907760620117
graph_25_0.75.gml;25;225;0.75;clever;0.75;18;False;-1;0.0030002593994140625
graph_26_0.125.gml;26;40;0.125;clever;0.125;3;True;(11, 68):(84, 31):(100, 6);0.0
graph_26_0.125.gml;26;40;0.125;clever;0.25;6;True;(11, 68):(99, 58):(13, 46):(3, 1):(84, 31):(100, 6);0.0
