name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time;operations_count;solutions_count
graph_139_0.75.gml;139;7193;0.75;greedy_v1;0.5;69;False;-1;0.014000415802001953;14102;5
graph_139_0.75.gml;139;7193;0.75;greedy_v1;0.75;104;False;-1;0.013999700546264648;14102;5
graph_139_0.125.gml;139;1198;0.125;greedy_v1;0.125;17;True;(11, 1):(80, 46):(47, 21):(10, 11):(71, 100):(19, 42):(32, 18):(55, 83):(34, 80):(27, 28):(63, 50):(64, 29):(20, 54):(30, 2):(64, 8):(39, 9):(19, 34);0.0029990673065185547;7910;18
graph_139_0.125.gml;139;1198;0.125;greedy_v1;0.25;34;False;-1;0.003996610641479492;8404;31
graph_139_0.125.gml;139;1198;0.125;greedy_v1;0.5;69;False;-1;0.004000186920166016;8404;31
graph_139_0.125.gml;139;1198;0.125;greedy_v1;0.75;104;False;-1;0.004000186920166016;8404;31
graph_140_0.5.gml;140;4865;0.5;greedy_v1;0.125;17;False;-1;0.009036540985107422;11841;9
graph_140_0.5.gml;140;4865;0.5;greedy_v1;0.25;35;False;-1;0.009033918380737305;11841;9
graph_140_0.5.gml;140;4865;0.5;greedy_v1;0.5;70;False;-1;0.009999275207519531;11841;9
graph_140_0.5.gml;140;4865;0.5;greedy_v1;0.75;105;False;-1;0.01003575325012207;11841;9
graph_140_0.25.gml;140;2432;0.25;greedy_v1;0.125;17;False;-1;0.006035566329956055;9972;15
graph_140_0.25.gml;140;2432;0.25;greedy_v1;0.25;35;False;-1;0.005996227264404297;9972;15
graph_140_0.25.gml;140;2432;0.25;greedy_v1;0.5;70;False;-1;0.004999876022338867;9972;15
graph_140_0.25.gml;140;2432;0.25;greedy_v1;0.75;105;False;-1;0.0060002803802490234;9972;15
graph_140_0.75.gml;140;7297;0.75;greedy_v1;0.125;17;False;-1;0.01599907875061035;14267;6
graph_140_0.75.gml;140;7297;0.75;greedy_v1;0.25;35;False;-1;0.013999700546264648;14267;6
graph_140_0.75.gml;140;7297;0.75;greedy_v1;0.5;70;False;-1;0.015001535415649414;14267;6
graph_140_0.75.gml;140;7297;0.75;greedy_v1;0.75;105;False;-1;0.014000892639160156;14267;6
graph_140_0.125.gml;140;1216;0.125;greedy_v1;0.125;17;True;(57, 1):(11, 1):(72, 79):(80, 46):(64, 1):(73, 52):(63, 50):(27, 58):(71, 12):(20, 54):(1, 100):(30, 2):(1, 83):(68, 60):(39, 9):(32, 18):(100, 69);0.003999233245849609;8598;18
graph_140_0.125.gml;140;1216;0.125;greedy_v1;0.25;35;False;-1;0.002998828887939453;8847;26
graph_140_0.125.gml;140;1216;0.125;greedy_v1;0.5;70;False;-1;0.0029997825622558594;8847;26
graph_140_0.125.gml;140;1216;0.125;greedy_v1;0.75;105;False;-1;0.0029993057250976562;8847;26
graph_141_0.5.gml;141;4935;0.5;greedy_v1;0.125;17;False;-1;0.008999347686767578;11894;9
graph_141_0.5.gml;141;4935;0.5;greedy_v1;0.25;35;False;-1;0.01000070571899414;11894;9
graph_141_0.5.gml;141;4935;0.5;greedy_v1;0.5;70;False;-1;0.01100015640258789;11894;9
graph_141_0.5.gml;141;4935;0.5;greedy_v1;0.75;105;False;-1;0.00899958610534668;11894;9
graph_141_0.25.gml;141;2467;0.25;greedy_v1;0.125;17;True;(87, 23):(66, 84):(80, 46):(51, 73):(99, 58):(91, 76):(54, 29):(64, 91):(25, 38):(90, 100):(3, 16):(49, 12):(61, 57):(80, 99):(7, 92):(1, 29):(64, 8);0.005000591278076172;10059;18
graph_141_0.25.gml;141;2467;0.25;greedy_v1;0.25;35;False;-1;0.006000518798828125;10061;18
graph_141_0.25.gml;141;2467;0.25;greedy_v1;0.5;70;False;-1;0.006000041961669922;10061;18
graph_141_0.25.gml;141;2467;0.25;greedy_v1;0.75;105;False;-1;0.0060007572174072266;10061;18
